date,location,people_vaccinated,percent_vaccinated,percent_fully,population,gdp_per_capita,total_cases
2021-05-24,Afghanistan,476367,0.012237022892909821,0.00248944592835333,38928341,1803.987,66275
2021-05-24,Albania,475237,0.16513899506567517,0.08683647230523317,2877800,11803.431,132215
2021-05-24,Argentina,8735231,0.19327538057372043,0.05341731374592808,45195777,18933.907,3562135
2021-05-24,Australia,3196760,0.12536372228560597,0.016325291870969906,25499881,44648.71,30029
2021-05-24,Austria,3359982,0.3730660419257417,0.14240728815064843,9006400,45436.686,641740
2021-05-24,Azerbaijan,1134398,0.11188267289991542,0.08409816380524056,10139175,15847.419,332610
2021-05-24,Bahrain,884922,0.5200580870871419,0.42123128874700794,1701583,43290.705,220847
2021-05-24,Belgium,4379009,0.3778390069179169,0.14810654641189147,11589616,42658.576,1049822
2021-05-24,Bolivia,1112812,0.09533189714511975,0.0259408247850665,11673029,6885.829,349653
2021-05-24,Brazil,39742084,0.18696930042743956,0.08855676673432979,212559409,14103.452,16120756
2021-05-24,Bulgaria,760923,0.10950982557968006,0.07266834521968585,6948445,18563.307,416727
2021-05-24,Cambodia,2280875,0.13642436487269463,0.0985104884744402,16718971,3645.07,25761
2021-05-24,Cameroon,51925,0.001956048595743578,1.914799232000887e-4,26545864,3364.926,77733
2021-05-24,Canada,19616260,0.5197440093315281,0.044146284485012344,37742157,44017.591,1368241
2021-05-24,Croatia,1195088,0.29111083612568045,0.09992015137623171,4105268,22669.797,354060
2021-05-24,Cyprus,369970,0.4223888827364799,0.1864507209164527,875899,32415.132,72011
2021-05-24,Czechia,3521790,0.3288631916647166,0.11633477393089278,10708982,32605.906,1658092
2021-05-24,El Salvador,1101172,0.16977148873431458,0.09127237962560827,6486201,7292.458,72220
2021-05-24,Estonia,442078,0.33325669279229636,0.15393214975209926,1326539,29481.252,128669
2021-05-24,Georgia,113000,0.028326659020975514,0.004149980885772121,3989175,9745.079,337961
2021-05-24,Germany,33755540,0.4028879279914547,0.1419910700075056,83783945,45229.245,3659990
2021-05-24,Greece,3281550,0.3148356873454388,0.1740195006147909,10423056,24574.382,391181
2021-05-24,Hong Kong,1267462,0.16906282896544586,0.1210536818252877,7496988,56054.92,11833
2021-05-24,Hungary,5026529,0.5203257645944505,0.3180982055515587,9660350,26777.561,802346
2021-05-24,India,152301505,0.11036305873767205,0.03033628476477631,1380004385,6426.674,26948874
2021-05-24,Indonesia,14919592,0.05454589971225922,0.036218550207040436,273523621,11188.744,1781127
2021-05-24,Iran,2738504,0.032603973335715436,0.004798890687889018,83992953,19082.62,2843523
2021-05-24,Israel,5444288,0.6289945365633414,0.5914641268523828,8655541,33132.32,839367
2021-05-24,Italy,21398122,0.3539112644758276,0.17217367294948477,60461828,35220.084,4194672
2021-05-24,Japan,6610864,0.05226952196906084,0.022581744027018846,126476458,39002.223,722668
2021-05-24,Kazakhstan,1991219,0.10604729572656164,0.04917960321796575,18776707,24055.588,431288
2021-05-24,Latvia,448746,0.23790983150267045,0.09897190226709547,1886202,25063.846,131079
2021-05-24,Lebanon,455766,0.06677457665012757,0.032585728513992204,6825442,13367.565,538668
2021-05-24,Lithuania,938902,0.34489406165615655,0.19381983777634354,2722291,29524.265,271130
2021-05-24,Malaysia,1662273,0.05135862024090838,0.029929897418890034,32365998,26808.164,518600
2021-05-24,Moldova,266238,0.06599911798893544,0.010008024367105003,4033963,5189.972,254741
2021-05-24,Mongolia,1836501,0.560200555655201,0.25242199291582323,3278292,11840.846,53734
2021-05-24,Montenegro,121783,0.1939028312491442,0.057015071760431295,628062,16409.288,99291
2021-05-24,Morocco,7832620,0.21220540746092215,0.13208502564496585,36910558,7485.013,517113
2021-05-24,Pakistan,4144175,0.01876106328019147,0.005823782990456106,220892331,5034.708,905852
2021-05-24,Panama,623682,0.1445458944721941,0.07644118988552803,4314768,22267.037,374356
2021-05-24,Philippines,3318646,0.03028484341070359,0.009006380982630352,109581085,7599.188,1184706
2021-05-24,Poland,12814730,0.33859655311222764,0.15033697210093216,37846605,27216.445,2866181
2021-05-24,Portugal,3567626,0.349880211327049,0.15582668012329862,10196707,27936.896,845465
2021-05-24,Russia,15610238,0.10696745648697367,0.07669255088894014,145934460,24765.954,4952412
2021-05-24,Senegal,442133,0.026405569062938034,0.0041300339884364065,16743930,2470.58,41142
2021-05-24,Serbia,2406387,0.3536414211806256,0.28015226767320206,6804596,14048.881,710315
2021-05-24,Slovakia,1601860,0.29340013623601396,0.13903729602833007,5459643,30155.152,388854
2021-05-24,Slovenia,633571,0.30475792378009475,0.16405298489801495,2078932,31400.84,251773
2021-05-24,South Korea,3864784,0.07538220376946518,0.036097103400301894,51269183,35938.374,136983
2021-05-24,Sri Lanka,1439501,0.06722477905035433,0.01557087317431964,21413250,11669.077,167172
2021-05-24,Thailand,2044123,0.02928543902979454,0.014042841102328141,69799978,16277.671,132213
2021-05-24,Trinidad and Tobago,67324,0.04810606141804413,8.424491475829426e-4,1399491,28763.071,20267
2021-05-24,Turkey,16115588,0.19108093761577893,0.14282404855154493,84339067,25129.341,5194010
2021-05-24,Ukraine,981970,0.022453363773280957,0.001971589041774342,43733759,7894.393,2241354
2021-05-24,United States,163907827,0.49518584967690604,0.39460650295041294,331002647,54225.446,33143662
2021-05-24,Uruguay,1608652,0.4630910834386237,0.28254091354904975,3473727,20551.409,267888
2021-05-24,Zimbabwe,633635,0.0426319122740763,0.0189253435746539,14862927,1899.775,38696
